source_company,target_company,partnership_type,notes,level,exchange_tags
SAP,Google Cloud,Technology,,1.0,
SAP,Databricks,Technology,,1.0,Data Integration
SAP,DataRobot,Technology,,1.0,Data Integration
SAP,Confluent,Technology,,1.0,Data Integration
SAP,Collibra,Technology,,1.0,Data Integration
Collibra,Amazon Web Services,Technology,,2.0,
Collibra,Databricks,Technology,,2.0,Co-Branding/Marketing
Collibra,Google Cloud,Technology,,2.0,
Collibra,Snowflake,Technology,,2.0,Data Integration
Collibra,Microsoft Azure,Technology,,2.0,
Collibra,tableau,Technology,,2.0,
Collibra,Confluent,Technology,,2.0,Co-Branding/Marketing
Collibra,DataOps.Live,Technology,,2.0,
Collibra,dbt Labs,Technology,,2.0,
Collibra,Denodo,Technology,,2.0,Co-Branding/Marketing
Collibra,Hackolade,Technology,,2.0,
Collibra,Idera,Technology,,2.0,
Collibra,Matillion,Technology,,2.0,Co-Branding/Marketing
Collibra,MicroStrategy,Technology,,2.0,
Collibra,MongoDB,Technology,,2.0,Data Integration
Collibra,Ohalo,Technology,,2.0,
Collibra,Protegrity,Technology,,2.0,
Collibra,Reltio,Technology,,2.0,Co-Branding/Marketing
Collibra,SecuPi,Technology,,2.0,
Collibra,SnapLogic,Technology,,2.0,Co-Branding/Marketing
Collibra,Starburst,Technology,,2.0,Co-Branding/Marketing
Collibra,Immuta,Technology,,2.0,
Confluent,Databricks,Technology,,2.0,Co-Branding/Marketing
Confluent,Hivecell,Technology,,2.0,Co-Branding/Marketing
Confluent,Imply,Technology,,2.0,Co-Branding/Marketing
Confluent,Rockset,Technology,,2.0,Co-Branding/Marketing
Confluent,MongoDB,Technology,,2.0,Data Integration
Confluent,Neo4j,Technology,,2.0,Co-Branding/Marketing
Confluent,OneHouse,Technology,,2.0,Co-Branding/Marketing
Confluent,Snowflake,Technology,,2.0,Data Integration
Confluent,Starburst,Technology,,2.0,Co-Branding/Marketing
Confluent,SWIM.AI,Technology,,2.0,Co-Branding/Marketing
Confluent,Tinybird,Technology,,2.0,Co-Branding/Marketing
